iter	Logloss
351	0.1721742807
352	0.1718884477
353	0.1716265718
354	0.1715314282
355	0.1713872819
356	0.171168036
357	0.171043631
358	0.1708916744
359	0.1706128519
360	0.1701448452
361	0.1698682982
362	0.1697240961
363	0.1694931475
364	0.1692201967
365	0.1688473738
366	0.1685911208
367	0.1682721471
368	0.1681384693
369	0.1679582945
370	0.1677978502
371	0.1675647436
372	0.1673433787
373	0.1669232937
374	0.1666614988
375	0.1665117063
376	0.1662546283
377	0.1661150319
378	0.165766483
379	0.1655798438
380	0.1654378972
381	0.1651514912
382	0.1649328882
383	0.1646327193
384	0.1645178283
385	0.1642641562
386	0.1640858365
387	0.1638094075
388	0.1635334428
389	0.1633756132
390	0.1630430732
391	0.1628138081
392	0.1626980491
393	0.1625483499
394	0.1624714177
395	0.1623098952
396	0.1620174809
397	0.16180557
398	0.1614400573
399	0.1612278757
400	0.1611071327
401	0.160900782
402	0.1606608278
403	0.1603766106
404	0.1601304286
405	0.1599910492
406	0.159804397
407	0.1596433234
408	0.1594690668
409	0.1592243699
410	0.1588371753
411	0.1585822191
412	0.1584791024
413	0.1583357815
414	0.1579103734
415	0.1576714282
416	0.1574611639
417	0.1572653081
418	0.1571391189
419	0.1568452353
420	0.1565697498
421	0.1563244875
422	0.156150713
423	0.155915235
424	0.1558023947
425	0.1556127463
426	0.1553478594
427	0.1551615765
428	0.1549801263
429	0.1546642799
430	0.1544810921
431	0.1543692205
432	0.1541285321
433	0.1540279321
434	0.1539450994
435	0.1538665717
436	0.1535979233
437	0.1533998899
438	0.1532079359
439	0.1530796538
440	0.1530021897
441	0.152788581
442	0.1525378742
443	0.15249714
444	0.1522014815
445	0.151915954
446	0.1517740052
447	0.1515417847
448	0.1513718919
449	0.1512707329
450	0.1511215868
451	0.1509743431
452	0.1505145713
453	0.1504573379
454	0.1503585421
455	0.1500266295
456	0.149859578
457	0.1497646715
458	0.1496017729
459	0.1495358053
460	0.1493702128
461	0.1492569481
462	0.1490646247
463	0.1488188228
464	0.1486985481
465	0.1485064167
466	0.1483301587
467	0.1480310117
468	0.147932402
469	0.1477865306
470	0.1476351202
471	0.1473891913
