iter	Logloss
0	0.5944628829
1	0.5264189952
2	0.4871168113
3	0.4520691291
4	0.430440073
5	0.4078643293
6	0.3937873327
7	0.382983214
8	0.3778840338
9	0.3712090459
10	0.3644681456
11	0.359702116
12	0.3559021946
13	0.3517946387
14	0.348258101
15	0.3456474223
16	0.343934189
17	0.3401562233
18	0.3380492597
19	0.3363735553
20	0.3348910937
21	0.3338235769
22	0.3323122661
23	0.3301461804
24	0.3291472798
25	0.3277845326
26	0.3257531104
27	0.324652384
28	0.3235215477
29	0.3209762369
30	0.3196229927
31	0.318424829
32	0.3169749919
33	0.3158175031
34	0.3151872272
35	0.3140669202
36	0.3121737554
37	0.3115208644
38	0.3108193029
39	0.3101644159
40	0.3093480183
41	0.3084359811
42	0.3078315683
43	0.3071962928
44	0.3057936462
45	0.3051737697
46	0.3045728993
47	0.3040294093
48	0.3034002934
49	0.3025340968
50	0.301907125
51	0.3008310291
52	0.3004790911
53	0.3000585981
54	0.2992849101
55	0.2984316334
56	0.2978779638
57	0.2973657404
58	0.2968976469
59	0.2960269748
60	0.2944375102
61	0.2939684431
62	0.2934319753
63	0.2926122722
64	0.2921758243
65	0.2916077865
66	0.2911734533
67	0.2906127371
68	0.2901799343
69	0.2895055271
70	0.2890393275
71	0.2880335463
72	0.2876120893
73	0.2874221656
74	0.2858849917
75	0.2855051689
76	0.2851979261
77	0.2845494598
78	0.2826723361
79	0.282167576
80	0.28163451
81	0.2811924192
82	0.2807293924
83	0.2799760788
84	0.279698517
85	0.278844052
86	0.2780054274
87	0.2773232854
88	0.2769999086
89	0.2765147596
90	0.2757570573
91	0.2751913541
92	0.2744797596
93	0.2740546878
94	0.2726351436
95	0.2719864573
96	0.2716517085
97	0.2696975486
98	0.2687015033
99	0.2683216627
100	0.267737706
101	0.26645701
102	0.2655118786
103	0.2645336459
104	0.2637073479
105	0.2628116868
106	0.2617888263
107	0.2613250779
108	0.2607836732
109	0.2603850806
110	0.2593381338
111	0.2586496632
112	0.2575453593
113	0.2559965344
114	0.2554308736
115	0.2546111379
116	0.2542256289
117	0.2537126074
118	0.2530588325
119	0.2526181301
120	0.2520501234
121	0.2515909856
122	0.2511007791
123	0.2507850564
124	0.2501930806
125	0.2491667161
126	0.248482302
127	0.2477897067
128	0.2473708393
129	0.2466925161
130	0.2462978023
131	0.2454330563
132	0.2451264469
133	0.2441924261
134	0.2436662175
135	0.2434109336
136	0.2427420244
137	0.2421253756
138	0.2416574161
139	0.2407176717
140	0.2401075207
141	0.2394542024
142	0.2392495875
143	0.2388548924
144	0.2385008937
145	0.2379243219
146	0.2374455593
147	0.2370783567
148	0.2367546744
149	0.2362679361
150	0.2359010232
151	0.2355023296
152	0.2347867513
153	0.2344148809
154	0.2339895754
155	0.2333135223
156	0.2329149932
157	0.2323859485
158	0.2318347517
159	0.2316380921
160	0.2308949793
161	0.2304728275
162	0.2299936874
163	0.2297328896
164	0.2291618558
165	0.2287844841
166	0.2283846409
167	0.2277679213
168	0.2272464131
169	0.2268514422
170	0.2262833493
171	0.2259836444
172	0.2257538746
173	0.2253779162
174	0.224855903
175	0.2243844125
176	0.2241278228
177	0.2236740506
178	0.22317417
179	0.2229035475
180	0.2226503813
181	0.2223261216
182	0.2220349907
183	0.2216320403
184	0.2213121241
185	0.2208814436
186	0.2204842059
187	0.2202490064
188	0.2199221772
189	0.2195005343
190	0.2190130608
191	0.2186670431
192	0.2182478114
193	0.21793909
194	0.2174377896
195	0.2171946345
196	0.216831069
197	0.2165254486
198	0.2163688382
199	0.2158269398
200	0.2154558019
201	0.2150447206
202	0.2148103507
203	0.2146252665
204	0.2139936017
205	0.2133462762
206	0.2128246316
207	0.2124231061
208	0.2121384584
209	0.2116920012
210	0.2113270669
211	0.2111991772
212	0.2108267917
213	0.2105158157
214	0.2101112224
215	0.2097026895
216	0.2093904435
217	0.2090654831
218	0.2088342708
219	0.2084231795
220	0.2082232388
221	0.2078226015
222	0.2074588471
223	0.2071914602
224	0.206881523
225	0.2065880876
226	0.2064265497
227	0.2060333317
228	0.2057047551
229	0.205341926
230	0.2049055895
231	0.2047784774
232	0.2043240386
233	0.2041472648
234	0.2040027124
235	0.2037066014
236	0.2033704703
237	0.2031451572
238	0.2028223966
239	0.2025175789
240	0.2022937413
241	0.2020760957
242	0.201762159
243	0.2014394633
244	0.2011005484
245	0.2009001672
246	0.2006189382
247	0.2001592926
248	0.1998751476
249	0.1995317185
250	0.1992207838
251	0.1990535832
252	0.1987765401
253	0.1983152926
254	0.1979957325
255	0.1975568005
256	0.1972577867
257	0.1970940866
258	0.1966978194
259	0.1963994978
260	0.1962122445
261	0.1960559442
262	0.1958065745
263	0.1955510383
264	0.1952188184
265	0.194912042
266	0.1946963745
267	0.1944732599
268	0.1941262516
269	0.1940118603
270	0.1937619301
271	0.1933376189
272	0.1930642392
273	0.1927031169
274	0.1923838201
275	0.1919222128
276	0.191703017
277	0.1913496521
278	0.1909217073
279	0.1907381029
280	0.1902704806
281	0.1898440342
282	0.189562294
283	0.1893075464
284	0.1889551866
285	0.188583552
286	0.1882580184
287	0.1879984439
288	0.1877383165
289	0.187408178
290	0.1869986823
291	0.1867891209
292	0.1864711759
293	0.1861622427
294	0.1858579912
295	0.1856028443
296	0.1852961644
297	0.1849982333
298	0.1846867168
299	0.1842939103
300	0.1839426831
301	0.1837414239
302	0.1834040199
303	0.1831767256
304	0.1829906631
305	0.1829272378
306	0.1826431035
307	0.1823123013
308	0.1822602936
309	0.1821003162
310	0.1819898943
311	0.1818098329
312	0.1815747841
313	0.1814819713
314	0.181175445
315	0.1809435561
316	0.180670501
317	0.1804013503
318	0.1800174303
319	0.1797623562
320	0.1795029543
321	0.1794043886
322	0.1791540871
323	0.1789497629
324	0.1787798328
325	0.1784898518
326	0.1783428549
327	0.1780988386
328	0.1778620577
329	0.1776719664
330	0.1774076571
331	0.1772200209
332	0.1769540307
333	0.1766453663
334	0.1764662593
335	0.1760926753
336	0.1758548347
337	0.1756095846
338	0.1753696705
339	0.1752662737
340	0.1750660154
341	0.1747738507
342	0.1745544067
343	0.174324587
344	0.1740517122
345	0.1736930438
346	0.173399503
347	0.1731767053
348	0.1730524983
349	0.1727502733
350	0.1723890241
